Generation;Avg Rock;Avg Paper;Avg Scissor;Best Rock;Best Paper;Best Scissor;LOD Rock;LOD Paper;LOD Scissor
242;0.340787;0.31114;0.348073;0.562734;0.26492;0.172347;0.00964432;0.552294;0.438061
243;0.340037;0.336502;0.323462;0.641573;0.0575338;0.300894;0.0109417;0.492068;0.49699
244;0.317766;0.340697;0.341537;0.257353;0.56826;0.174387;0.144544;0.4256;0.429856
245;0.337357;0.34335;0.319292;0.221401;0.460037;0.318561;0.116422;0.537353;0.346225
246;0.348494;0.343943;0.307563;0.283261;0.281843;0.434896;0.180568;0.282446;0.536986
247;0.361277;0.320168;0.318555;0.684532;0.263846;0.0516218;0.141481;0.437771;0.420748
248;0.353223;0.34226;0.304518;0.475165;0.259216;0.26562;0.105126;0.582244;0.31263
249;0.332104;0.334039;0.333857;0.219811;0.373475;0.406713;0.0632588;0.350363;0.586379
250;0.313447;0.355222;0.33133;0.325322;0.279472;0.395206;0.191841;0.30227;0.505889
251;0.348507;0.330264;0.321229;0.244081;0.623657;0.132263;0.133482;0.514522;0.351996
252;0.340931;0.340208;0.318861;0.201744;0.474661;0.323595;0.138636;0.534388;0.326976
253;0.341358;0.335492;0.32315;0.145956;0.606745;0.247299;0.100098;0.663821;0.236082
254;0.355645;0.317995;0.32636;0.0685735;0.441871;0.489555;0.180386;0.39417;0.425444
255;0.335217;0.337125;0.327657;0.637669;0.0976091;0.264722;0.289185;0.341846;0.368969
256;0.337811;0.335138;0.327051;0.307295;0.396152;0.296552;0.33054;0.321958;0.347503
257;0.344422;0.323904;0.331674;0.262258;0.307556;0.430186;0.318333;0.346997;0.33467
258;0.366622;0.306758;0.32662;0.529417;0.371552;0.0990317;0.542755;0.232757;0.224488
259;0.374151;0.307904;0.317946;0.59934;0.323018;0.0776411;0.630974;0.10805;0.260976
260;0.34749;0.321043;0.331467;0.491877;0.182711;0.325412;0.620512;0.122838;0.256649
261;0.357769;0.321529;0.320702;0.521556;0.248056;0.230388;0.636947;0.0996061;0.263447
262;0.335233;0.32556;0.339207;0.28981;0.480836;0.229354;0.453141;0.359436;0.187423
263;0.341508;0.310889;0.347604;0.52844;0.114209;0.357352;0.291859;0.587426;0.120715
264;0.34522;0.30825;0.346529;0.490122;0.488187;0.0216911;0.330105;0.664404;0.00549126
265;0.31131;0.322402;0.366288;0.0931644;0.398869;0.507966;0.0727602;0.919639;0.00760076
266;0.324745;0.322829;0.352426;0.44871;0.343815;0.207475;0.347415;0.616293;0.0362921
267;0.315114;0.331847;0.353039;0.231528;0.286378;0.482094;0.0523124;0.894984;0.0527036
268;0.326441;0.320918;0.352641;0.371422;0.505761;0.122816;0.27601;0.683727;0.0402632
269;0.325867;0.306145;0.367988;0.657777;0.304023;0.0382;0.735605;0.157088;0.107307
270;0.296854;0.333265;0.369882;0.169977;0.274982;0.55504;0.594435;0.318851;0.0867139
271;0.297415;0.329734;0.37285;0.270485;0.169938;0.559578;0.438496;0.497538;0.0639661
272;0.333464;0.302985;0.363551;0.508996;0.211157;0.279846;0.606266;0.348881;0.0448539
273;0.342363;0.3001;0.357537;0.674607;0.163085;0.162308;0.650461;0.30972;0.0398192
274;0.355949;0.296645;0.347406;0.337914;0.485178;0.176908;0.656464;0.304401;0.0391353
275;0.363806;0.283158;0.353035;0.54737;0.319745;0.132885;0.669711;0.292663;0.0376263
276;0.382747;0.299065;0.318188;0.0528691;0.490566;0.456565;0.513574;0.224431;0.261995
277;0.364182;0.294675;0.341143;0.458653;0.25885;0.282497;0.334676;0.146253;0.519071
278;0.386386;0.284788;0.328826;0.352909;0.475726;0.171365;0.311115;0.206357;0.482528
279;0.402224;0.287805;0.309971;0.647657;0.165794;0.186549;0.239974;0.387833;0.372192
280;0.367425;0.289017;0.343559;0.435203;0.236242;0.328556;0.172581;0.559753;0.267666
281;0.351434;0.286143;0.362422;0.362943;0.235873;0.401185;0.393689;0.410172;0.196139
282;0.345459;0.271589;0.382952;0.65092;0.102002;0.247078;0.586231;0.121704;0.292065
283;0.329;0.305069;0.365931;0.478051;0.0883107;0.433638;0.56994;0.126495;0.303565
284;0.320899;0.326674;0.352427;0.309006;0.317461;0.373533;0.416274;0.0923901;0.491335
285;0.310311;0.332325;0.357364;0.541956;0.282771;0.175273;0.239581;0.477637;0.282781
286;0.330438;0.318955;0.350608;0.610449;0.251268;0.138283;0.198105;0.568069;0.233826
287;0.316009;0.334616;0.349375;0.0739839;0.295251;0.630766;0.139611;0.400337;0.460052
288;0.318279;0.349333;0.332389;0.215232;0.352822;0.431946;0.0998028;0.571323;0.328874
